ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Safely managed element
MKD,North Macedonia,total,Drinking water,2019,80.43296,1675786.884,Available
MLI,Mali,total,Drinking water,2019,70.21047,13801990.43,Available
MLT,Malta,total,Drinking water,2019,100,440376.9943,On premises
MMR,Myanmar,total,Drinking water,2019,73.6922,39827257.55,Available
MNE,Montenegro,total,Drinking water,2019,85.01322,533872.8119,Available
MNG,Mongolia,total,Drinking water,2019,73.3735,2366417.014,Available
MNP,Northern Mariana Islands,total,Drinking water,2019,90.63918,51857.39134,Available
MOZ,Mozambique,total,Drinking water,2019,30.70422,9323657.285,On premises
MRT,Mauritania,total,Drinking water,2019,42.74407,1934467.298,On premises
MSR,Montserrat,total,Drinking water,2019,98.07615,4894.98066,On premises
MTQ,Martinique,total,Drinking water,2019,99.76031,374656.8302,On premises
MUS,Mauritius,total,Drinking water,2019,72.90237,925619.5222,Available
MWI,Malawi,total,Drinking water,2019,68.20134,12705055,Available
MYS,Malaysia,total,Drinking water,2019,93.77186,29959913.2,On premises
MYT,Mayotte,total,Drinking water,2019,96.37118,256494.7859,On premises
NAM,Namibia,total,Drinking water,2019,61.81267,1541931.995,On premises
NCL,New Caledonia,total,Drinking water,2019,98.59912,278795.9262,On premises
NER,Niger,total,Drinking water,2019,31.8791,7431246.267,Available
NGA,Nigeria,total,Drinking water,2019,65.92903,132493360.3,Available
NIC,Nicaragua,total,Drinking water,2019,55.44344,3629051.826,Available
NIU,Niue,total,Drinking water,2019,97.01088,1565.75554,Available
NLD,Netherlands,total,Drinking water,2019,100,17097123.51,On premises
NOR,Norway,total,Drinking water,2019,100,5378859.183,On premises
NPL,Nepal,total,Drinking water,2019,77.89668,22285238.65,Available
NRU,Nauru,total,Drinking water,2019,99.4,10699.416,On premises
NZL,New Zealand,total,Drinking water,2019,100,4783061.878,On premises
OMN,Oman,total,Drinking water,2019,90.26776,4490814.031,On premises
PAK,Pakistan,total,Drinking water,2019,79.14244,171395070.9,Available
PAN,Panama,total,Drinking water,2019,84.09153,3570896.232,Available
PER,Peru,total,Drinking water,2019,73.24711,23812973.15,Available
PHL,Philippines,total,Drinking water,2019,86.12347,93113787.45,Available
PLW,Palau,total,Drinking water,2019,99.65818,17939.46973,Available
PNG,Papua New Guinea,total,Drinking water,2019,26.77161,2349508.007,Available
POL,Poland,total,Drinking water,2019,98.32518,37253217.54,On premises
PRI,Puerto Rico,total,Drinking water,2019,100,2933404,Available
PRK,Democratic People's Republic of Korea,total,Drinking water,2019,93.24321,23931949.95,Available
PRT,Portugal,total,Drinking water,2019,95.36105,9751790.632,Available
PRY,Paraguay,total,Drinking water,2019,87.24652,6146202.635,Available
PSE,State of Palestine,total,Drinking water,2019,87.58237,4362847.229,Available
PYF,French Polynesia,total,Drinking water,2019,97.58218,272532.4005,On premises
QAT,Qatar,total,Drinking water,2019,99.5681,2819839.34,Available
REU,Réunion,total,Drinking water,2019,99.8088,887232.3278,On premises
ROU,Romania,total,Drinking water,2019,81.9577,15870746.2,On premises
RUS,Russian Federation,total,Drinking water,2019,76.00771,110874167.8,On premises
RWA,Rwanda,total,Drinking water,2019,71.42703,9019046.358,Available
SAU,Saudi Arabia,total,Drinking water,2019,99.00921,33928997.64,On premises
SDN,Sudan,total,Drinking water,2019,83.62286,35801654.36,Available
SEN,Senegal,total,Drinking water,2019,51.87993,8454541.311,Available
SGP,Singapore,total,Drinking water,2019,100,5804343,On premises
SHN,Saint Helena,total,Drinking water,2019,98.65026,5979.19202,On premises
SLB,Solomon Islands,total,Drinking water,2019,36.91925,247292.9025,Available
SLE,Sierra Leone,total,Drinking water,2019,52.1904,4077744.094,Available
SLV,El Salvador,total,Drinking water,2019,74.23016,4790480.341,Available
SMR,San Marino,total,Drinking water,2019,100,33864,Available
SOM,Somalia,total,Drinking water,2019,58.1064,8973316.835,Available
SPM,Saint Pierre and Miquelon,total,Drinking water,2019,91.4,5320.394,Available
SRB,Serbia,total,Drinking water,2019,91.86779,8058851.941,Available
SSD,South Sudan,total,Drinking water,2019,2.80008,309748.3279,On premises
STP,Sao Tome and Principe,total,Drinking water,2019,68.28252,146840.1912,Available
SUR,Suriname,total,Drinking water,2019,82.33769,478680.8687,Available
SVK,Slovakia,total,Drinking water,2019,99.78782,5445433.366,On premises
SVN,Slovenia,total,Drinking water,2019,98.27432,2042783.103,On premises
SWE,Sweden,total,Drinking water,2019,99.82654,10018981.77,On premises
SWZ,Eswatini,total,Drinking water,2019,50.68058,581880.4326,On premises
SYC,Seychelles,total,Drinking water,2019,95.70733,93545.30485,On premises
SYR,Syrian Arab Republic,total,Drinking water,2019,93.63535,15983678.47,Available
TCD,Chad,total,Drinking water,2019,47.88029,7635413.499,Available
TGO,Togo,total,Drinking water,2019,62.22459,5029214.744,Available
THA,Thailand,total,Drinking water,2019,99.50423,69280390.79,Available
TJK,Tajikistan,total,Drinking water,2019,55.21331,5146445.327,Available
TKL,Tokelau,total,Drinking water,2019,97.28118,1293.8397,On premises
TKM,Turkmenistan,total,Drinking water,2019,99.64415,5920948.767,Available
TLS,Timor-Leste,total,Drinking water,2019,72.42026,936480.8616,On premises
TON,Tonga,total,Drinking water,2019,90.82577,94910.20241,Available
TTO,Trinidad and Tobago,total,Drinking water,2019,82.33912,1148605.174,Available
TUN,Tunisia,total,Drinking water,2019,80.28855,9389522.212,Available
TUR,Turkey,total,Drinking water,2019,92.89368,77500837.24,On premises
TUV,Tuvalu,total,Drinking water,2019,97.7,11386.935,On premises
TZA,United Republic of Tanzania,total,Drinking water,2019,33.27727,19302633.34,Available
UGA,Uganda,total,Drinking water,2019,72.25065,31985060.22,Available
UKR,Ukraine,total,Drinking water,2019,92.07759,40508287.04,On premises
URY,Uruguay,total,Drinking water,2019,100,3461731,Available
USA,United States of America,total,Drinking water,2019,97.14624,319674185.1,Available
