Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Cyprus,CYP,11.2,6.6,3.3,3.2,3,2.9,2.7,2.6,2.5,2.4,2.3,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Czech Republic,CZE,12.2,5.5,3.3,3.2,3.1,3.1,3.2,3.2,3.2,3.2,3.2,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Denmark,DNK,9,5.7,4.1,4.1,4.1,4.1,4.1,4.1,4,3.9,3.8,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Djibouti,DJI,117.9,101.1,74.1,71.8,69.6,67.5,65.3,63.2,61.3,59.3,57.5,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Dominica,DMA,16.5,17,25.7,26.9,28.2,29.6,30.9,32.1,33.2,34,34.7,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Dominican Republic,DOM,60,40.7,33.7,33.3,32.7,32.1,31.3,30.5,29.7,28.8,28,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Ecuador,ECU,53.6,28.9,17.5,16.7,16.1,15.5,15.1,14.8,14.5,14.3,14,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,"Egypt, Arab Rep.",EGY,85.5,46.6,27.5,26.4,25.3,24.3,23.4,22.6,21.7,21,20.3,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,El Salvador,SLV,59.6,32.8,18.3,17.4,16.7,15.9,15.3,14.7,14.2,13.7,13.3,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Equatorial Guinea,GNQ,177.7,156.3,107.9,104.2,100.7,97.4,94,90.8,87.7,84.7,81.8,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Eritrea,ERI,152.7,85.4,53.2,51.3,49.5,47.9,46.3,44.8,43.3,41.9,40.5,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Estonia,EST,17.7,10.9,4.2,3.9,3.6,3.4,3.1,2.9,2.7,2.6,2.4,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Eswatini,SWZ,67.4,109.7,77,71,68,66.9,59.2,58.9,62.3,55.3,49.4,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Ethiopia,ETH,199.9,140.3,77.6,73.4,69.5,65.8,62.2,58.9,55.8,53.1,50.7,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Fiji,FJI,28.9,22.7,23.6,23.6,23.7,24,24.3,24.7,25.2,25.6,25.7,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Finland,FIN,6.7,4.3,2.9,2.7,2.6,2.6,2.5,2.4,2.4,2.4,2.4,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,France,FRA,9,5.4,4.2,4.2,4.1,4.1,4.1,4.2,4.3,4.4,4.5,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Gabon,GAB,91.7,84,59.2,56.9,54.6,52.3,49.8,47,45.1,43.6,42.5,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,"Gambia, The",GMB,167.4,112.5,70,67.3,64.8,62.3,60,57.8,55.7,53.7,51.7,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Georgia,GEO,47.7,36.6,13,12.1,11.4,10.9,10.5,10.2,10,9.8,9.6,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Germany,DEU,8.5,5.4,4.1,4,4,3.9,3.9,3.9,3.9,3.9,3.8,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Ghana,GHA,127.2,99.4,65.9,62.8,59.8,57.1,54.6,52.2,50,48,46.2,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Greece,GRC,10.4,6.4,3.9,4,4.2,4.3,4.4,4.4,4.3,4,3.8,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Grenada,GRD,22.4,15.5,15.3,15.5,15.8,16,16.2,16.4,16.6,16.6,16.5,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Guatemala,GTM,80.1,51.9,33.3,31.9,30.6,29.4,28.3,27.2,26.2,25.4,24.5,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Guinea,GIN,231.2,164.3,115.7,113.4,111.2,109.8,107.9,105.2,103.2,101.1,98.8,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Guinea-Bissau,GNB,221.2,173,107.6,102.7,98.2,94.1,90.7,87.3,84.2,81.4,78.5,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Guyana,GUY,60.1,46.3,36.5,35.7,35,34.1,33.1,32.2,31.2,30.3,29.3,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Haiti,HTI,144.6,103.7,77.7,75.9,74.1,72.3,70.5,68.5,66.6,64.7,62.8,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Honduras,HND,58,37,22.4,21.5,20.7,20,19.3,18.6,17.9,17.4,16.8,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Hungary,HUN,17.2,10.1,5.9,5.7,5.6,5.4,5.1,4.7,4.4,4,3.7,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Iceland,ISL,6.5,4,2.5,2.5,2.4,2.3,2.2,2.2,2.1,2,2,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,India,IND,126.2,91.8,55.1,52,49.1,46.2,43.5,40.9,38.5,36.3,34.3,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Indonesia,IDN,84,52.2,32.6,31.3,30.1,28.9,27.8,26.7,25.7,24.8,23.9,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,"Iran, Islamic Rep.",IRN,56.1,34.3,18.8,18,17.3,16.7,16.1,15.5,14.9,14.4,13.9,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Iraq,IRQ,53.5,44,33.6,32.5,31.5,30.5,29.5,28.6,27.7,26.8,25.9,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Ireland,IRL,9.2,7.1,4.1,4,3.9,3.8,3.7,3.6,3.5,3.4,3.3,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Israel,ISR,11.6,6.9,4.4,4.3,4.1,4,3.9,3.8,3.8,3.7,3.7,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Italy,ITA,9.7,5.6,3.9,3.8,3.7,3.6,3.5,3.4,3.3,3.2,3.1,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Jamaica,JAM,30.3,22,17.6,17.2,16.7,16.2,15.6,15.2,14.7,14.3,13.9,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Japan,JPN,6.3,4.5,3.2,3,2.9,2.8,2.8,2.7,2.6,2.5,2.5,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Jordan,JOR,36,26.9,19.7,19.1,18.6,18.1,17.6,17.1,16.6,16.1,15.6,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Kazakhstan,KAZ,51.8,42.2,18.3,16.3,14.6,13,11.8,11,10.5,10.3,10.5,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Kenya,KEN,101.5,98.5,56,54.6,52.8,51.3,49.6,47.8,46.4,44.6,43.2,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Kiribati,KIR,95.5,71,63.2,61.9,60.5,58.9,57.4,55.8,54.1,52.5,50.9,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,"Korea, Dem. People's Rep.",PRK,43.4,60,27.7,25.7,24,22.4,21.1,20,19,18.2,17.3,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,"Korea, Rep.",KOR,15.4,7.5,4,3.8,3.7,3.6,3.5,3.4,3.3,3.3,3.2,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Kuwait,KWT,17.5,12.4,10,9.6,9.3,9,8.7,8.5,8.3,8.1,7.9,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Kyrgyz Republic,KGZ,65,49.7,27.7,26.1,24.7,23.5,22.3,21.2,20.1,19.2,18.3,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Lao PDR,LAO,153,106.4,64.8,61.8,58.9,56.2,53.6,51.3,49.2,47.3,45.5,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Latvia,LVA,17,14.2,7.3,6.6,6,5.5,5,4.5,4.2,3.9,3.6,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Lebanon,LBN,32.1,19.8,9.8,9.4,9,8.7,8.3,8,7.7,7.4,7.2,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Lesotho,LSO,85.2,106.8,96.1,95.6,94.8,94.2,94.1,90.6,88.7,86.6,86.4,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Liberia,LBR,262.6,188,98,95.7,93.8,94.3,91,89.3,87.9,86.4,84.6,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Libya,LBY,41.7,28.1,17.5,15.1,14.4,13.8,13.3,12.8,12.4,11.9,11.5,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Lithuania,LTU,15,10.7,5.6,5.2,5,5,4.9,4.7,4.4,4,3.7,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Luxembourg,LUX,8.7,4.7,3,2.9,2.9,2.9,2.9,2.9,2.8,2.8,2.8,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Madagascar,MDG,157.3,106.5,66,63.7,61.7,59.8,57.9,56,54.1,52.3,50.6,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Malawi,MWI,242.8,172.6,78.6,71.2,63.9,58,53.8,50,46.9,43.9,41.6,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Malaysia,MYS,16.6,10.2,8,8,8,8,8.1,8.2,8.3,8.4,8.6,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Maldives,MDV,85.8,38.9,13,12.2,11.5,10.8,10.1,9.5,8.8,8.2,7.6,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Mali,MLI,230,187.2,125.5,121.1,116.7,112.5,108.6,104.8,101.1,97.4,94,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Malta,MLT,11.4,7.6,6.8,6.9,6.9,7,7,7.1,7.1,7.1,7,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Marshall Islands,MHL,49.3,40.9,38.4,38,37.3,36.6,35.7,34.7,33.8,32.8,31.8,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Mauritania,MRT,117.7,112.7,93.7,90.8,88.1,85.5,82.7,80.3,77.8,75.3,72.9,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Mauritius,MUS,23,18.8,14.7,14.9,15,14.8,14.5,14.5,14.9,15.4,16,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Mexico,MEX,45.3,28.2,18.5,17.9,17.3,16.7,16.2,15.7,15.2,14.7,14.2,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,"Micronesia, Fed. Sts.",FSM,54.8,52.6,38.1,37,35.9,34.8,33.7,32.5,31.5,30.5,29.4,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Moldova,MDA,33.2,31.4,16.8,16.5,16.2,15.9,15.6,15.3,15,14.7,14.4,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Monaco,MCO,7.8,5.2,3.9,3.8,3.7,3.6,3.5,3.4,3.3,3.2,3.1,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Mongolia,MNG,108.1,65.5,27.9,25.7,23.7,21.9,20.2,18.8,17.5,16.5,15.6,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Montenegro,MNE,16.5,14.2,5.8,5.2,4.6,4,3.6,3.1,2.8,2.5,2.3,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Morocco,MAR,79.1,49.4,30.4,29,27.7,26.5,25.3,24.2,23.1,22.2,21.4,..
